Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Middeltemperatur (døgn);Middel av middelvind fra hovedobs. (døgn);Høyeste vindkast (døgn);Høyeste middelvind (døgn)
Alna;SN18230;05.04.2015;-;2,9;1,5;4;2,5
Alna;SN18230;06.04.2015;-;5,2;2,6;9,8;5,2
Alna;SN18230;07.04.2015;-;9,3;2,3;10,1;5,4
Alna;SN18230;08.04.2015;-;9,1;2,3;9,2;5,7
Alna;SN18230;09.04.2015;-;8,7;2,4;9,5;5,4
Alna;SN18230;10.04.2015;-;8,5;2,7;9,5;5,2
Alna;SN18230;11.04.2015;-;5,8;1,8;6,7;3,7
Alna;SN18230;12.04.2015;-;7,5;3,2;10,8;6,1
Alna;SN18230;13.04.2015;-;5,9;2,8;9,9;5,9
Alna;SN18230;14.04.2015;-;3,5;1,6;7;3,9
Alna;SN18230;15.04.2015;-;5,7;1,7;12,9;6,3
Alna;SN18230;16.04.2015;-;6,8;2,9;10,4;6,9
Alna;SN18230;17.04.2015;-;8;3,8;11,1;6,5
Alna;SN18230;18.04.2015;-;7;2,1;11,1;6
Alna;SN18230;19.04.2015;-;10,5;2,1;11,5;7,1
Alna;SN18230;20.04.2015;-;14,4;1,7;6,6;3,5
Alna;SN18230;21.04.2015;-;11,6;1,6;7,6;4,9
Alna;SN18230;22.04.2015;-;11,8;2,7;10,3;6,1
Alna;SN18230;23.04.2015;-;10,5;3,6;12,3;6,4
Alna;SN18230;24.04.2015;-;6,7;1,5;9,1;4,7
Alna;SN18230;25.04.2015;-;7,3;3,7;11;6,1
Alna;SN18230;26.04.2015;-;6,5;2,7;11,2;6,2
Alna;SN18230;27.04.2015;-;5,1;2,2;9,2;4,9
Alna;SN18230;28.04.2015;-;5,4;1,6;7,6;4,2
Alna;SN18230;29.04.2015;-;5,1;1,8;9;4,8
Alna;SN18230;30.04.2015;-;6,4;2,1;7,1;4,2
Alna;SN18230;01.05.2015;-;6,6;2;9,2;5,8
Alna;SN18230;02.05.2015;-;7,7;2,8;7,7;4,3
Alna;SN18230;03.05.2015;-;7,8;2,5;6,6;3,9
Alna;SN18230;04.05.2015;-;-;3;8,9;5
Alna;SN18230;05.05.2015;-;8,8;3;9,8;5,8
Alna;SN18230;06.05.2015;-;11;3,9;13,3;6,6
Alna;SN18230;07.05.2015;-;8,6;1,9;10,6;5,2
Alna;SN18230;08.05.2015;-;8,5;3;11,7;6,3
Alna;SN18230;09.05.2015;-;6,3;1,8;8,5;4,6
Alna;SN18230;10.05.2015;-;8,6;2,3;7,8;4,5
Alna;SN18230;11.05.2015;-;8,7;3,2;13,8;6,2
Alna;SN18230;12.05.2015;-;8,8;2,5;12,3;6,4
Alna;SN18230;13.05.2015;-;9,7;1,7;9,1;5,8
Alna;SN18230;14.05.2015;-;9,1;3;10;5,8
Alna;SN18230;15.05.2015;-;9,2;1,8;10;6
Alna;SN18230;16.05.2015;-;8;2,3;8,5;4,8
Alna;SN18230;17.05.2015;-;6,5;2,9;11,4;6,7
Alna;SN18230;18.05.2015;-;9;1,6;7,4;3,5
Alna;SN18230;19.05.2015;-;7,9;3,2;11,3;6,4
Alna;SN18230;20.05.2015;-;9,3;2,2;10,2;4,8
Alna;SN18230;21.05.2015;-;9,9;2,4;10,7;6,3
Alna;SN18230;22.05.2015;-;9,9;3,4;11,4;6,2
Alna;SN18230;23.05.2015;-;11,8;2,6;9;5,2
Alna;SN18230;24.05.2015;-;8,3;2,3;9,5;4,8
Alna;SN18230;25.05.2015;-;10,9;2;10,8;4,4
Alna;SN18230;26.05.2015;-;10,6;1,8;12,1;7,9
Alna;SN18230;27.05.2015;-;12,5;1,7;8,7;4,7
Alna;SN18230;28.05.2015;-;8,4;2,3;7,2;3,8
Alna;SN18230;29.05.2015;-;9,8;3,5;13,2;6,9
Alna;SN18230;30.05.2015;-;7,4;2,3;10,5;5,9
Alna;SN18230;31.05.2015;-;10,5;2,6;-;-
Alna;SN18230;09.06.2015;-;13,6;-;-;-
Alna;SN18230;10.06.2015;-;13,7;-;-;-
Alna;SN18230;11.06.2015;-;15,6;-;-;-
Alna;SN18230;12.06.2015;-;16,1;-;-;-
Alna;SN18230;13.06.2015;-;14,3;-;-;-
Alna;SN18230;14.06.2015;-;12,4;-;-;-
Alna;SN18230;15.06.2015;-;12,7;-;-;-
Alna;SN18230;16.06.2015;-;13,3;-;-;-
Alna;SN18230;17.06.2015;-;9,2;-;-;-
Alna;SN18230;18.06.2015;-;10,8;-;-;-
Alna;SN18230;19.06.2015;-;13,9;-;-;-
Alna;SN18230;20.06.2015;-;16,7;-;-;-
Alna;SN18230;21.06.2015;-;14,8;-;-;-
Alna;SN18230;22.06.2015;-;13,3;-;-;-
Alna;SN18230;23.06.2015;-;14,9;-;-;-
Alna;SN18230;24.06.2015;-;14,1;-;-;-
Alna;SN18230;25.06.2015;-;11,9;-;-;-
Alna;SN18230;26.06.2015;-;14,1;-;-;-
Alna;SN18230;27.06.2015;-;15,3;-;-;-
Alna;SN18230;28.06.2015;-;13,7;-;-;-
Alna;SN18230;29.06.2015;-;16,1;-;-;-
Oslo - Kjelsås;SN18440;01.01.2015;0,8;-;-;-;-
Oslo - Kjelsås;SN18440;02.01.2015;15;-;-;-;-
Oslo - Kjelsås;SN18440;03.01.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;04.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.01.2015;2,4;-;-;-;-
Oslo - Kjelsås;SN18440;07.01.2015;16,3;-;-;-;-
Oslo - Kjelsås;SN18440;08.01.2015;5,4;-;-;-;-
Oslo - Kjelsås;SN18440;09.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.01.2015;5;-;-;-;-
Oslo - Kjelsås;SN18440;12.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.01.2015;5,5;-;-;-;-
Oslo - Kjelsås;SN18440;15.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.01.2015;26,6;-;-;-;-
Oslo - Kjelsås;SN18440;17.01.2015;1,1;-;-;-;-
Oslo - Kjelsås;SN18440;18.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;19.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;20.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;23.01.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;24.01.2015;3,1;-;-;-;-
Oslo - Kjelsås;SN18440;25.01.2015;0,4;-;-;-;-
Oslo - Kjelsås;SN18440;26.01.2015;6,7;-;-;-;-
Oslo - Kjelsås;SN18440;27.01.2015;22,3;-;-;-;-
Oslo - Kjelsås;SN18440;28.01.2015;1,6;-;-;-;-
Oslo - Kjelsås;SN18440;29.01.2015;18,2;-;-;-;-
Oslo - Kjelsås;SN18440;30.01.2015;0,4;-;-;-;-
Oslo - Kjelsås;SN18440;31.01.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;01.02.2015;0,7;-;-;-;-
Oslo - Kjelsås;SN18440;02.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;04.02.2015;0,9;-;-;-;-
Oslo - Kjelsås;SN18440;05.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.02.2015;0,7;-;-;-;-
Oslo - Kjelsås;SN18440;08.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;12.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.02.2015;0,6;-;-;-;-
Oslo - Kjelsås;SN18440;15.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;17.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;18.02.2015;3,7;-;-;-;-
Oslo - Kjelsås;SN18440;19.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;20.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.02.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.02.2015;0;-;-;-;-
