"Time (CET/CEST)","Germany (DE) > Norway (NO) [MW]","Norway (NO) > Germany (DE) [MW]"
"01.01.2022 00:00 - 01.01.2022 00:15","1367","0"
"01.01.2022 00:15 - 01.01.2022 00:30","1361","0"
"01.01.2022 00:30 - 01.01.2022 00:45","1361","0"
"01.01.2022 00:45 - 01.01.2022 01:00","1361","0"
"01.01.2022 01:00 - 01.01.2022 01:15","1361","0"
"01.01.2022 01:15 - 01.01.2022 01:30","1361","0"
"01.01.2022 01:30 - 01.01.2022 01:45","1361","0"
"01.01.2022 01:45 - 01.01.2022 02:00","1361","0"
"01.01.2022 02:00 - 01.01.2022 02:15","1361","0"
"01.01.2022 02:15 - 01.01.2022 02:30","1360","0"
"01.01.2022 02:30 - 01.01.2022 02:45","1361","0"
"01.01.2022 02:45 - 01.01.2022 03:00","1368","0"
"01.01.2022 03:00 - 01.01.2022 03:15","1393","0"
"01.01.2022 03:15 - 01.01.2022 03:30","1400","0"
"01.01.2022 03:30 - 01.01.2022 03:45","1399","0"
"01.01.2022 03:45 - 01.01.2022 04:00","1400","0"
"01.01.2022 04:00 - 01.01.2022 04:15","1400","0"
"01.01.2022 04:15 - 01.01.2022 04:30","1400","0"
"01.01.2022 04:30 - 01.01.2022 04:45","1400","0"
"01.01.2022 04:45 - 01.01.2022 05:00","1399","0"
"01.01.2022 05:00 - 01.01.2022 05:15","1400","0"
"01.01.2022 05:15 - 01.01.2022 05:30","1400","0"
"01.01.2022 05:30 - 01.01.2022 05:45","1400","0"
"01.01.2022 05:45 - 01.01.2022 06:00","1399","0"
"01.01.2022 06:00 - 01.01.2022 06:15","1400","0"
"01.01.2022 06:15 - 01.01.2022 06:30","1400","0"
"01.01.2022 06:30 - 01.01.2022 06:45","1399","0"
"01.01.2022 06:45 - 01.01.2022 07:00","1400","0"
"01.01.2022 07:00 - 01.01.2022 07:15","1399","0"
"01.01.2022 07:15 - 01.01.2022 07:30","1399","0"
"01.01.2022 07:30 - 01.01.2022 07:45","1398","0"
"01.01.2022 07:45 - 01.01.2022 08:00","1399","0"
"01.01.2022 08:00 - 01.01.2022 08:15","1400","0"
"01.01.2022 08:15 - 01.01.2022 08:30","1400","0"
"01.01.2022 08:30 - 01.01.2022 08:45","1399","0"
"01.01.2022 08:45 - 01.01.2022 09:00","1400","0"
"01.01.2022 09:00 - 01.01.2022 09:15","1399","0"
"01.01.2022 09:15 - 01.01.2022 09:30","1398","0"
"01.01.2022 09:30 - 01.01.2022 09:45","1399","0"
"01.01.2022 09:45 - 01.01.2022 10:00","1399","0"
"01.01.2022 10:00 - 01.01.2022 10:15","1400","0"
"01.01.2022 10:15 - 01.01.2022 10:30","1400","0"
"01.01.2022 10:30 - 01.01.2022 10:45","1399","0"
"01.01.2022 10:45 - 01.01.2022 11:00","1400","0"
"01.01.2022 11:00 - 01.01.2022 11:15","1400","0"
"01.01.2022 11:15 - 01.01.2022 11:30","1400","0"
"01.01.2022 11:30 - 01.01.2022 11:45","1401","0"
"01.01.2022 11:45 - 01.01.2022 12:00","1399","0"
"01.01.2022 12:00 - 01.01.2022 12:15","1397","0"
"01.01.2022 12:15 - 01.01.2022 12:30","1396","0"
"01.01.2022 12:30 - 01.01.2022 12:45","1396","0"
"01.01.2022 12:45 - 01.01.2022 13:00","1390","0"
"01.01.2022 13:00 - 01.01.2022 13:15","1366","0"
"01.01.2022 13:15 - 01.01.2022 13:30","1360","0"
"01.01.2022 13:30 - 01.01.2022 13:45","1361","0"
"01.01.2022 13:45 - 01.01.2022 14:00","1360","0"
"01.01.2022 14:00 - 01.01.2022 14:15","1360","0"
"01.01.2022 14:15 - 01.01.2022 14:30","1361","0"
"01.01.2022 14:30 - 01.01.2022 14:45","1361","0"
"01.01.2022 14:45 - 01.01.2022 15:00","1361","0"
"01.01.2022 15:00 - 01.01.2022 15:15","1360","0"
"01.01.2022 15:15 - 01.01.2022 15:30","1360","0"
"01.01.2022 15:30 - 01.01.2022 15:45","1359","0"
"01.01.2022 15:45 - 01.01.2022 16:00","1318","0"
"01.01.2022 16:00 - 01.01.2022 16:15","1148","0"
"01.01.2022 16:15 - 01.01.2022 16:30","1105","0"
"01.01.2022 16:30 - 01.01.2022 16:45","1105","0"
"01.01.2022 16:45 - 01.01.2022 17:00","1055","0"
"01.01.2022 17:00 - 01.01.2022 17:15","855","0"
"01.01.2022 17:15 - 01.01.2022 17:30","804","0"
"01.01.2022 17:30 - 01.01.2022 17:45","805","0"
