"Time (CET/CEST)","Germany (DE) > Norway (NO) [MW]","Norway (NO) > Germany (DE) [MW]"
"01.01.2023 00:00 - 01.01.2023 00:15","1227","0"
"01.01.2023 00:15 - 01.01.2023 00:30","1288","0"
"01.01.2023 00:30 - 01.01.2023 00:45","1289","0"
"01.01.2023 00:45 - 01.01.2023 01:00","1289","0"
"01.01.2023 01:00 - 01.01.2023 01:15","1289","0"
"01.01.2023 01:15 - 01.01.2023 01:30","1288","0"
"01.01.2023 01:30 - 01.01.2023 01:45","1289","0"
"01.01.2023 01:45 - 01.01.2023 02:00","1290","0"
"01.01.2023 02:00 - 01.01.2023 02:15","1297","0"
"01.01.2023 02:15 - 01.01.2023 02:30","1299","0"
"01.01.2023 02:30 - 01.01.2023 02:45","1298","0"
"01.01.2023 02:45 - 01.01.2023 03:00","1298","0"
"01.01.2023 03:00 - 01.01.2023 03:15","1298","0"
"01.01.2023 03:15 - 01.01.2023 03:30","1299","0"
"01.01.2023 03:30 - 01.01.2023 03:45","1298","0"
"01.01.2023 03:45 - 01.01.2023 04:00","1300","0"
"01.01.2023 04:00 - 01.01.2023 04:15","1307","0"
"01.01.2023 04:15 - 01.01.2023 04:30","1308","0"
"01.01.2023 04:30 - 01.01.2023 04:45","1308","0"
"01.01.2023 04:45 - 01.01.2023 05:00","1310","0"
"01.01.2023 05:00 - 01.01.2023 05:15","1316","0"
"01.01.2023 05:15 - 01.01.2023 05:30","1317","0"
"01.01.2023 05:30 - 01.01.2023 05:45","1318","0"
"01.01.2023 05:45 - 01.01.2023 06:00","1327","0"
"01.01.2023 06:00 - 01.01.2023 06:15","1366","0"
"01.01.2023 06:15 - 01.01.2023 06:30","1376","0"
"01.01.2023 06:30 - 01.01.2023 06:45","1375","0"
"01.01.2023 06:45 - 01.01.2023 07:00","1379","0"
"01.01.2023 07:00 - 01.01.2023 07:15","1393","0"
"01.01.2023 07:15 - 01.01.2023 07:30","1396","0"
"01.01.2023 07:30 - 01.01.2023 07:45","1395","0"
"01.01.2023 07:45 - 01.01.2023 08:00","1392","0"
"01.01.2023 08:00 - 01.01.2023 08:15","1378","0"
"01.01.2023 08:15 - 01.01.2023 08:30","1375","0"
"01.01.2023 08:30 - 01.01.2023 08:45","1375","0"
"01.01.2023 08:45 - 01.01.2023 09:00","1371","0"
"01.01.2023 09:00 - 01.01.2023 09:15","1360","0"
"01.01.2023 09:15 - 01.01.2023 09:30","1356","0"
"01.01.2023 09:30 - 01.01.2023 09:45","1356","0"
"01.01.2023 09:45 - 01.01.2023 10:00","1352","0"
"01.01.2023 10:00 - 01.01.2023 10:15","1332","0"
"01.01.2023 10:15 - 01.01.2023 10:30","1328","0"
"01.01.2023 10:30 - 01.01.2023 10:45","1327","0"
"01.01.2023 10:45 - 01.01.2023 11:00","1330","0"
"01.01.2023 11:00 - 01.01.2023 11:15","1336","0"
"01.01.2023 11:15 - 01.01.2023 11:30","1337","0"
"01.01.2023 11:30 - 01.01.2023 11:45","1338","0"
"01.01.2023 11:45 - 01.01.2023 12:00","1338","0"
"01.01.2023 12:00 - 01.01.2023 12:15","1337","0"
"01.01.2023 12:15 - 01.01.2023 12:30","1338","0"
"01.01.2023 12:30 - 01.01.2023 12:45","1338","0"
"01.01.2023 12:45 - 01.01.2023 13:00","1341","0"
"01.01.2023 13:00 - 01.01.2023 13:15","1353","0"
"01.01.2023 13:15 - 01.01.2023 13:30","1357","0"
"01.01.2023 13:30 - 01.01.2023 13:45","1357","0"
"01.01.2023 13:45 - 01.01.2023 14:00","1362","0"
"01.01.2023 14:00 - 01.01.2023 14:15","1380","0"
"01.01.2023 14:15 - 01.01.2023 14:30","1386","0"
"01.01.2023 14:30 - 01.01.2023 14:45","1385","0"
"01.01.2023 14:45 - 01.01.2023 15:00","1388","0"
"01.01.2023 15:00 - 01.01.2023 15:15","1397","0"
"01.01.2023 15:15 - 01.01.2023 15:30","1400","0"
"01.01.2023 15:30 - 01.01.2023 15:45","1400","0"
"01.01.2023 15:45 - 01.01.2023 16:00","1391","0"
"01.01.2023 16:00 - 01.01.2023 16:15","1363","0"
"01.01.2023 16:15 - 01.01.2023 16:30","1357","0"
"01.01.2023 16:30 - 01.01.2023 16:45","1356","0"
"01.01.2023 16:45 - 01.01.2023 17:00","1359","0"
"01.01.2023 17:00 - 01.01.2023 17:15","1365","0"
"01.01.2023 17:15 - 01.01.2023 17:30","1366","0"
"01.01.2023 17:30 - 01.01.2023 17:45","1366","0"
"01.01.2023 17:45 - 01.01.2023 18:00","1366","0"
"01.01.2023 18:00 - 01.01.2023 18:15","1367","0"
"01.01.2023 18:15 - 01.01.2023 18:30","1366","0"
"01.01.2023 18:30 - 01.01.2023 18:45","1366","0"
"01.01.2023 18:45 - 01.01.2023 19:00","1366","0"
"01.01.2023 19:00 - 01.01.2023 19:15","1367","0"
"01.01.2023 19:15 - 01.01.2023 19:30","1366","0"
"01.01.2023 19:30 - 01.01.2023 19:45","1366","0"
"01.01.2023 19:45 - 01.01.2023 20:00","1372","0"
"01.01.2023 20:00 - 01.01.2023 20:15","1393","0"
"01.01.2023 20:15 - 01.01.2023 20:30","1400","0"
"01.01.2023 20:30 - 01.01.2023 20:45","1400","0"
"01.01.2023 20:45 - 01.01.2023 21:00","1399","0"
"01.01.2023 21:00 - 01.01.2023 21:15","1400","0"
"01.01.2023 21:15 - 01.01.2023 21:30","1399","0"
"01.01.2023 21:30 - 01.01.2023 21:45","1399","0"
"01.01.2023 21:45 - 01.01.2023 22:00","1393","0"
"01.01.2023 22:00 - 01.01.2023 22:15","1362","0"
"01.01.2023 22:15 - 01.01.2023 22:30","1357","0"
"01.01.2023 22:30 - 01.01.2023 22:45","1356","0"
"01.01.2023 22:45 - 01.01.2023 23:00","1359","0"
"01.01.2023 23:00 - 01.01.2023 23:15","1365","0"
"01.01.2023 23:15 - 01.01.2023 23:30","1366","0"
"01.01.2023 23:30 - 01.01.2023 23:45","1366","0"
"01.01.2023 23:45 - 02.01.2023 00:00","1374","0"
"02.01.2023 00:00 - 02.01.2023 00:15","1394","0"
"02.01.2023 00:15 - 02.01.2023 00:30","1399","0"
"02.01.2023 00:30 - 02.01.2023 00:45","1400","0"
"02.01.2023 00:45 - 02.01.2023 01:00","1400","0"
"02.01.2023 01:00 - 02.01.2023 01:15","1398","0"
"02.01.2023 01:15 - 02.01.2023 01:30","1400","0"
"02.01.2023 01:30 - 02.01.2023 01:45","1400","0"
"02.01.2023 01:45 - 02.01.2023 02:00","1399","0"
"02.01.2023 02:00 - 02.01.2023 02:15","1400","0"
"02.01.2023 02:15 - 02.01.2023 02:30","1399","0"
"02.01.2023 02:30 - 02.01.2023 02:45","1400","0"
"02.01.2023 02:45 - 02.01.2023 03:00","1399","0"
"02.01.2023 03:00 - 02.01.2023 03:15","1400","0"
"02.01.2023 03:15 - 02.01.2023 03:30","1400","0"
"02.01.2023 03:30 - 02.01.2023 03:45","1399","0"
"02.01.2023 03:45 - 02.01.2023 04:00","1399","0"
"02.01.2023 04:00 - 02.01.2023 04:15","1400","0"
"02.01.2023 04:15 - 02.01.2023 04:30","1399","0"
"02.01.2023 04:30 - 02.01.2023 04:45","1399","0"
"02.01.2023 04:45 - 02.01.2023 05:00","1399","0"
"02.01.2023 05:00 - 02.01.2023 05:15","1399","0"
"02.01.2023 05:15 - 02.01.2023 05:30","1400","0"
"02.01.2023 05:30 - 02.01.2023 05:45","1399","0"
"02.01.2023 05:45 - 02.01.2023 06:00","1400","0"
"02.01.2023 06:00 - 02.01.2023 06:15","1400","0"
"02.01.2023 06:15 - 02.01.2023 06:30","1399","0"
"02.01.2023 06:30 - 02.01.2023 06:45","1399","0"
"02.01.2023 06:45 - 02.01.2023 07:00","1315","0"
"02.01.2023 07:00 - 02.01.2023 07:15","980","0"
"02.01.2023 07:15 - 02.01.2023 07:30","896","0"
"02.01.2023 07:30 - 02.01.2023 07:45","897","0"
"02.01.2023 07:45 - 02.01.2023 08:00","830","0"
"02.01.2023 08:00 - 02.01.2023 08:15","573","0"
"02.01.2023 08:15 - 02.01.2023 08:30","510","0"
"02.01.2023 08:30 - 02.01.2023 08:45","510","0"
"02.01.2023 08:45 - 02.01.2023 09:00","518","0"
"02.01.2023 09:00 - 02.01.2023 09:15","550","0"
"02.01.2023 09:15 - 02.01.2023 09:30","558","0"
"02.01.2023 09:30 - 02.01.2023 09:45","558","0"
"02.01.2023 09:45 - 02.01.2023 10:00","657","0"
"02.01.2023 10:00 - 02.01.2023 10:15","1057","0"
"02.01.2023 10:15 - 02.01.2023 10:30","1159","0"
"02.01.2023 10:30 - 02.01.2023 10:45","1158","0"
"02.01.2023 10:45 - 02.01.2023 11:00","1166","0"
"02.01.2023 11:00 - 02.01.2023 11:15","1198","0"
"02.01.2023 11:15 - 02.01.2023 11:30","1204","0"
"02.01.2023 11:30 - 02.01.2023 11:45","1204","0"
"02.01.2023 11:45 - 02.01.2023 12:00","1149","0"
"02.01.2023 12:00 - 02.01.2023 12:15","936","0"
"02.01.2023 12:15 - 02.01.2023 12:30","884","0"
"02.01.2023 12:30 - 02.01.2023 12:45","884","0"
"02.01.2023 12:45 - 02.01.2023 13:00","896","0"
"02.01.2023 13:00 - 02.01.2023 13:15","937","0"
"02.01.2023 13:15 - 02.01.2023 13:30","946","0"
"02.01.2023 13:30 - 02.01.2023 13:45","947","0"
"02.01.2023 13:45 - 02.01.2023 14:00","968","0"
"02.01.2023 14:00 - 02.01.2023 14:15","1050","0"
"02.01.2023 14:15 - 02.01.2023 14:30","1070","0"
"02.01.2023 14:30 - 02.01.2023 14:45","1069","0"
"02.01.2023 14:45 - 02.01.2023 15:00","1031","0"
"02.01.2023 15:00 - 02.01.2023 15:15","885","0"
"02.01.2023 15:15 - 02.01.2023 15:30","851","0"
"02.01.2023 15:30 - 02.01.2023 15:45","851","0"
"02.01.2023 15:45 - 02.01.2023 16:00","836","0"
"02.01.2023 16:00 - 02.01.2023 16:15","779","0"
"02.01.2023 16:15 - 02.01.2023 16:30","766","0"
"02.01.2023 16:30 - 02.01.2023 16:45","766","0"
"02.01.2023 16:45 - 02.01.2023 17:00","668","0"
"02.01.2023 17:00 - 02.01.2023 17:15","272","0"
"02.01.2023 17:15 - 02.01.2023 17:30","172","0"
"02.01.2023 17:30 - 02.01.2023 17:45","172","0"
"02.01.2023 17:45 - 02.01.2023 18:00","102","0"
"02.01.2023 18:00 - 02.01.2023 18:15","0","172"
"02.01.2023 18:15 - 02.01.2023 18:30","0","240"
"02.01.2023 18:30 - 02.01.2023 18:45","0","240"
"02.01.2023 18:45 - 02.01.2023 19:00","0","333"
