"Time (CET/CEST)","Germany (DE) > Norway (NO) [MW]","Norway (NO) > Germany (DE) [MW]"
"01.01.2021 09:00 - 01.01.2021 09:15","0","701"
"01.01.2021 09:15 - 01.01.2021 09:30","0","701"
"01.01.2021 09:30 - 01.01.2021 09:45","0","701"
"01.01.2021 09:45 - 01.01.2021 10:00","0","702"
"01.01.2021 10:00 - 01.01.2021 10:15","0","701"
"01.01.2021 10:15 - 01.01.2021 10:30","0","702"
"01.01.2021 10:30 - 01.01.2021 10:45","0","701"
"01.01.2021 10:45 - 01.01.2021 11:00","0","702"
"01.01.2021 11:00 - 01.01.2021 11:15","0","702"
"01.01.2021 11:15 - 01.01.2021 11:30","0","701"
"01.01.2021 11:30 - 01.01.2021 11:45","0","702"
"01.01.2021 11:45 - 01.01.2021 12:00","0","701"
"01.01.2021 12:00 - 01.01.2021 12:15","0","702"
"01.01.2021 12:15 - 01.01.2021 12:30","0","701"
"01.01.2021 12:30 - 01.01.2021 12:45","0","702"
"01.01.2021 12:45 - 01.01.2021 13:00","0","701"
"01.01.2021 13:00 - 01.01.2021 13:15","0","702"
"01.01.2021 13:15 - 01.01.2021 13:30","0","702"
"01.01.2021 13:30 - 01.01.2021 13:45","0","702"
"01.01.2021 13:45 - 01.01.2021 14:00","0","702"
"01.01.2021 14:00 - 01.01.2021 14:15","0","701"
"01.01.2021 14:15 - 01.01.2021 14:30","0","702"
"01.01.2021 14:30 - 01.01.2021 14:45","0","702"
"01.01.2021 14:45 - 01.01.2021 15:00","0","702"
"01.01.2021 15:00 - 01.01.2021 15:15","0","702"
"01.01.2021 15:15 - 01.01.2021 15:30","0","702"
"01.01.2021 15:30 - 01.01.2021 15:45","0","702"
"01.01.2021 15:45 - 01.01.2021 16:00","0","702"
"01.01.2021 16:00 - 01.01.2021 16:15","0","702"
"01.01.2021 16:15 - 01.01.2021 16:30","0","702"
"01.01.2021 16:30 - 01.01.2021 16:45","0","702"
"01.01.2021 16:45 - 01.01.2021 17:00","0","701"
"01.01.2021 17:00 - 01.01.2021 17:15","0","702"
"01.01.2021 17:15 - 01.01.2021 17:30","0","701"
"01.01.2021 17:30 - 01.01.2021 17:45","0","701"
"01.01.2021 17:45 - 01.01.2021 18:00","0","701"
"01.01.2021 18:00 - 01.01.2021 18:15","0","701"
"01.01.2021 18:15 - 01.01.2021 18:30","0","702"
"01.01.2021 18:30 - 01.01.2021 18:45","0","701"
"01.01.2021 18:45 - 01.01.2021 19:00","0","702"
"01.01.2021 19:00 - 01.01.2021 19:15","0","702"
"01.01.2021 19:15 - 01.01.2021 19:30","0","701"
"01.01.2021 19:30 - 01.01.2021 19:45","0","701"
"01.01.2021 19:45 - 01.01.2021 20:00","0","701"
"01.01.2021 20:00 - 01.01.2021 20:15","0","701"
"01.01.2021 20:15 - 01.01.2021 20:30","0","701"
"01.01.2021 20:30 - 01.01.2021 20:45","0","702"
"01.01.2021 20:45 - 01.01.2021 21:00","0","701"
"01.01.2021 21:00 - 01.01.2021 21:15","0","701"
"01.01.2021 21:15 - 01.01.2021 21:30","0","702"
"01.01.2021 21:30 - 01.01.2021 21:45","0","702"
"01.01.2021 21:45 - 01.01.2021 22:00","0","702"
"01.01.2021 22:00 - 01.01.2021 22:15","0","701"
"01.01.2021 22:15 - 01.01.2021 22:30","0","701"
"01.01.2021 22:30 - 01.01.2021 22:45","0","701"
"01.01.2021 22:45 - 01.01.2021 23:00","0","701"
"01.01.2021 23:00 - 01.01.2021 23:15","0","702"
"01.01.2021 23:15 - 01.01.2021 23:30","0","701"
"01.01.2021 23:30 - 01.01.2021 23:45","0","701"
"01.01.2021 23:45 - 02.01.2021 00:00","0","701"
"02.01.2021 00:00 - 02.01.2021 00:15","0","702"
"02.01.2021 00:15 - 02.01.2021 00:30","0","701"
"02.01.2021 00:30 - 02.01.2021 00:45","0","701"
