"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2024 00:00 - 01.01.2024 01:00 (CET/CEST)","0","n/e","n/e","194","n/e","n/e","n/e","n/e","n/e","83","","1616","8427","n/e","n/e","0","30","n/e","34","n/e","3462"
"Norway (NO)","01.01.2024 01:00 - 01.01.2024 02:00 (CET/CEST)","0","n/e","n/e","194","n/e","n/e","n/e","n/e","n/e","82","","1622","7577","n/e","n/e","0","31","n/e","35","n/e","3541"
"Norway (NO)","01.01.2024 02:00 - 01.01.2024 03:00 (CET/CEST)","0","n/e","n/e","194","n/e","n/e","n/e","n/e","n/e","81","","1614","6844","n/e","n/e","0","32","n/e","34","n/e","3556"
"Norway (NO)","01.01.2024 03:00 - 01.01.2024 04:00 (CET/CEST)","0","n/e","n/e","193","n/e","n/e","n/e","n/e","n/e","82","","1622","5959","n/e","n/e","0","28","n/e","29","n/e","3577"
"Norway (NO)","01.01.2024 04:00 - 01.01.2024 05:00 (CET/CEST)","0","n/e","n/e","193","n/e","n/e","n/e","n/e","n/e","84","","1598","6000","n/e","n/e","0","30","n/e","28","n/e","3528"
"Norway (NO)","01.01.2024 05:00 - 01.01.2024 06:00 (CET/CEST)","0","n/e","n/e","193","n/e","n/e","n/e","n/e","n/e","83","","1611","6526","n/e","n/e","0","29","n/e","28","n/e","3589"
"Norway (NO)","01.01.2024 06:00 - 01.01.2024 07:00 (CET/CEST)","0","n/e","n/e","194","n/e","n/e","n/e","n/e","n/e","83","","1610","6894","n/e","n/e","0","29","n/e","29","n/e","3584"
"Norway (NO)","01.01.2024 07:00 - 01.01.2024 08:00 (CET/CEST)","0","n/e","n/e","191","n/e","n/e","n/e","n/e","n/e","82","","1645","7174","n/e","n/e","0","27","n/e","30","n/e","3529"
"Norway (NO)","01.01.2024 08:00 - 01.01.2024 09:00 (CET/CEST)","0","n/e","n/e","192","n/e","n/e","n/e","n/e","n/e","82","","1659","6992","n/e","n/e","0","27","n/e","33","n/e","3554"
"Norway (NO)","01.01.2024 09:00 - 01.01.2024 10:00 (CET/CEST)","0","n/e","n/e","193","n/e","n/e","n/e","n/e","n/e","82","","1716","7455","n/e","n/e","0","27","n/e","34","n/e","3525"
