"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","952","","1252","18665","n/e","n/e","0","33","n/e","24","n/e","836"
"Norway (NO)","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","918","","1252","17610","n/e","n/e","0","31","n/e","21","n/e","840"
"Norway (NO)","02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","874","","1243","17273","n/e","n/e","0","34","n/e","23","n/e","766"
"Norway (NO)","02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","851","","1242","17169","n/e","n/e","0","34","n/e","26","n/e","681"
"Norway (NO)","02.01.2021 04:00 - 02.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","848","","1245","17443","n/e","n/e","0","34","n/e","23","n/e","685"
"Norway (NO)","02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","867","","1250","17898","n/e","n/e","0","33","n/e","22","n/e","632"
"Norway (NO)","02.01.2021 06:00 - 02.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","916","","1254","18442","n/e","n/e","0","34","n/e","22","n/e","570"
"Norway (NO)","02.01.2021 07:00 - 02.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","993","","1255","19296","n/e","n/e","0","34","n/e","25","n/e","562"
"Norway (NO)","02.01.2021 08:00 - 02.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1223","","1257","20040","n/e","n/e","0","32","n/e","24","n/e","575"
"Norway (NO)","02.01.2021 09:00 - 02.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1283","","1262","20571","n/e","n/e","0","33","n/e","24","n/e","561"
