Uke,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,,,,,,,,,,,,,,,,,,,,,
1,65.80%,62.10%,47.60%,84.90%,71.50%,66.20%,79.40%,65.80%,86.00%,75.90%,,,,,,,,,,,,,,,,,,,,,
2,62.20%,61.90%,46.40%,81.40%,72.50%,64.10%,76.20%,64.00%,82.30%,74.10%,,,,,,,,,,,,,,,,,,,,,
3,58.80%,58.90%,44.20%,79.10%,72.30%,61.20%,73.10%,62.30%,78.40%,72.20%,,,,,,,,,,,,,,,,,,,,,
4,57.80%,56.40%,43.40%,75.20%,71.70%,57.80%,70.70%,60.20%,77.70%,69.00%,,,,,,,,,,,,,,,,,,,,,
5,56.90%,54.50%,42.00%,71.70%,70.30%,54.60%,67.90%,57.60%,76.20%,65.90%,,,,,,,,,,,,,,,,,,,,,
6,54.10%,52.70%,40.60%,67.80%,68.40%,52.40%,64.60%,54.60%,73.60%,62.30%,,,,,,,,,,,,,,,,,,,,,
7,51.10%,51.00%,39.50%,64.80%,67.30%,50.80%,61.30%,52.10%,70.60%,59.10%,,,,,,,,,,,,,,,,,,,,,
8,48.50%,49.40%,37.50%,64.80%,66.90%,49.70%,57.50%,51.00%,67.10%,56.80%,,,,,,,,,,,,,,,,,,,,,
9,46.00%,46.60%,34.10%,61.90%,64.40%,48.70%,53.60%,49.00%,63.50%,54.50%,,,,,,,,,,,,,,,,,,,,,
10,43.60%,43.50%,31.20%,59.70%,61.80%,47.20%,49.90%,46.30%,59.60%,52.50%,,,,,,,,,,,,,,,,,,,,,
11,41.70%,41.40%,28.00%,56.60%,59.80%,45.70%,46.50%,44.80%,56.80%,50.70%,,,,,,,,,,,,,,,,,,,,,
12,39.30%,40.20%,25.40%,54.60%,57.60%,44.90%,43.20%,42.70%,54.50%,47.90%,,,,,,,,,,,,,,,,,,,,,
13,37.60%,37.90%,23.10%,56.90%,54.90%,44.60%,40.10%,42.30%,52.50%,44.80%,,,,,,,,,,,,,,,,,,,,,
14,36.70%,35.20%,21.30%,55.30%,52.20%,43.50%,37.50%,42.90%,50.90%,42.20%,,,,,,,,,,,,,,,,,,,,,
15,40.20%,34.30%,19.40%,52.20%,50.30%,41.60%,35.50%,42.50%,48.80%,40.30%,,,,,,,,,,,,,,,,,,,,,
16,39.60%,34.10%,19.50%,50.20%,48.80%,40.70%,37.40%,40.60%,47.20%,38.40%,,,,,,,,,,,,,,,,,,,,,
17,37.20%,33.40%,18.60%,47.10%,48.00%,46.00%,39.10%,37.90%,44.60%,37.60%,,,,,,,,,,,,,,,,,,,,,
18,,32.40%,18.80%,45.20%,46.20%,50.70%,40.40%,37.10%,44.40%,35.70%,,,,,,,,,,,,,,,,,,,,,
19,,35.80%,22.50%,48.70%,44.80%,50.80%,50.00%,36.80%,47.00%,36.50%,,,,,,,,,,,,,,,,,,,,,
20,,39.90%,25.10%,52.40%,43.00%,52.50%,55.40%,46.70%,49.70%,38.50%,,,,,,,,,,,,,,,,,,,,,
21,,46.00%,30.60%,56.90%,44.30%,58.80%,59.00%,52.40%,55.60%,39.10%,,,,,,,,,,,,,,,,,,,,,
22,,50.60%,33.50%,60.80%,48.90%,60.90%,63.00%,56.80%,64.40%,40.00%,,,,,,,,,,,,,,,,,,,,,
23,,55.50%,37.80%,63.20%,56.80%,66.00%,64.30%,65.10%,67.60%,43.70%,,,,,,,,,,,,,,,,,,,,,
24,,59.70%,41.30%,65.80%,65.30%,69.50%,66.20%,69.50%,69.70%,47.80%,,,,,,,,,,,,,,,,,,,,,
25,,63.30%,43.40%,66.30%,73.90%,72.10%,67.10%,72.30%,72.80%,51.30%,,,,,,,,,,,,,,,,,,,,,
26,,66.30%,45.70%,65.30%,80.90%,73.30%,66.60%,73.80%,76.10%,55.10%,,,,,,,,,,,,,,,,,,,,,
27,,68.00%,47.50%,66.60%,85.30%,74.40%,65.40%,73.90%,76.90%,62.20%,,,,,,,,,,,,,,,,,,,,,
28,,71.00%,48.30%,66.00%,87.00%,73.90%,64.00%,74.00%,78.40%,68.90%,,,,,,,,,,,,,,,,,,,,,
29,,73.70%,48.50%,64.50%,89.20%,73.70%,62.60%,74.10%,78.70%,72.80%,,,,,,,,,,,,,,,,,,,,,
30,,73.60%,49.30%,65.20%,90.40%,74.10%,61.30%,74.80%,80.40%,76.30%,,,,,,,,,,,,,,,,,,,,,
31,,73.30%,50.50%,64.10%,94.30%,73.70%,61.40%,77.80%,81.90%,78.80%,,,,,,,,,,,,,,,,,,,,,
32,,75.40%,50.30%,63.00%,94.60%,73.90%,62.90%,78.70%,84.40%,82.00%,,,,,,,,,,,,,,,,,,,,,
33,,77.40%,50.20%,61.20%,93.40%,75.80%,65.00%,79.80%,84.10%,85.10%,,,,,,,,,,,,,,,,,,,,,
34,,77.20%,50.50%,59.10%,94.00%,78.60%,65.30%,79.30%,84.30%,87.30%,,,,,,,,,,,,,,,,,,,,,
35,,76.10%,50.40%,57.20%,93.30%,79.50%,64.70%,78.10%,84.40%,91.30%,,,,,,,,,,,,,,,,,,,,,
36,,74.80%,49.90%,55.40%,93.00%,80.80%,65.70%,79.70%,84.90%,93.60%,,,,,,,,,,,,,,,,,,,,,
37,,74.70%,50.90%,53.10%,94.60%,83.80%,71.50%,82.30%,84.60%,92.60%,,,,,,,,,,,,,,,,,,,,,
38,,80.80%,50.70%,52.20%,94.00%,84.70%,76.40%,82.30%,83.30%,95.10%,,,,,,,,,,,,,,,,,,,,,
39,,82.90%,53.30%,55.00%,94.00%,84.60%,79.40%,83.60%,87.40%,94.90%,,,,,,,,,,,,,,,,,,,,,
40,,84.20%,59.40%,56.40%,94.90%,83.50%,79.70%,87.90%,86.20%,93.50%,,,,,,,,,,,,,,,,,,,,,
41,,86.60%,62.60%,56.80%,96.00%,84.30%,82.80%,88.70%,83.70%,92.10%,,,,,,,,,,,,,,,,,,,,,
42,,86.60%,64.50%,57.60%,94.30%,85.10%,82.90%,89.10%,81.30%,89.90%,,,,,,,,,,,,,,,,,,,,,
43,,84.80%,66.80%,61.60%,95.00%,86.10%,83.50%,90.60%,79.80%,89.40%,,,,,,,,,,,,,,,,,,,,,
44,,83.90%,70.70%,63.90%,95.80%,84.70%,81.80%,90.50%,77.70%,88.20%,,,,,,,,,,,,,,,,,,,,,
45,,81.30%,75.30%,63.30%,97.20%,82.00%,81.70%,89.20%,74.60%,87.30%,,,,,,,,,,,,,,,,,,,,,
