"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO1","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","n/e","n/e","n/e","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","666","760","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","n/e","n/e","n/e","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","665","766","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","n/e","n/e","n/e","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","663","755","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","n/e","n/e","n/e","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","662","748","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","n/e","n/e","n/e","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","666","764","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","n/e","n/e","n/e","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","667","777","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","n/e","n/e","n/e","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","666","806","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","n/e","n/e","n/e","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","659","806","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","n/e","n/e","n/e","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","661","849","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","n/e","n/e","n/e","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","679","908","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","n/e","n/e","n/e","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","683","945","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","n/e","n/e","n/e","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","684","946","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","n/e","n/e","n/e","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","683","975","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","n/e","n/e","n/e","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","683","930","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","n/e","n/e","n/e","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","682","910","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","n/e","n/e","n/e","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","681","950","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","n/e","n/e","n/e","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","680","996","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","n/e","n/e","n/e","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","683","1018","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","n/e","n/e","n/e","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","682","1021","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","n/e","n/e","n/e","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","679","973","n/e","n/e","4","n/e","n/e","n/e","n/e","0"
