"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO5","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","3631","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","3553","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","3326","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","2915","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2594","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","2392","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","2355","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2390","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","n/e","n/e","n/e","89","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2531","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","n/e","n/e","n/e","89","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","2465","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","n/e","n/e","n/e","89","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2559","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","n/e","n/e","n/e","89","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2668","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","n/e","n/e","n/e","89","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","2693","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","2668","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","2753","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","2919","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 16:00 - 01.01.2020 17:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","3338","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 17:00 - 01.01.2020 18:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","3680","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 18:00 - 01.01.2020 19:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","3501","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 19:00 - 01.01.2020 20:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","3170","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 20:00 - 01.01.2020 21:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","3046","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 21:00 - 01.01.2020 22:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","2831","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 22:00 - 01.01.2020 23:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","2657","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2020 23:00 - 02.01.2020 00:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","2579","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2020 00:00 - 02.01.2020 01:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","46","2344","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2020 01:00 - 02.01.2020 02:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","46","2090","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2020 02:00 - 02.01.2020 03:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","47","2234","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2020 03:00 - 02.01.2020 04:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","46","2164","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2020 04:00 - 02.01.2020 05:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","45","2212","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2020 05:00 - 02.01.2020 06:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","48","2355","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2020 06:00 - 02.01.2020 07:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","48","2581","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2020 07:00 - 02.01.2020 08:00 (CET/CEST)","n/e","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","n/e","n/e","47","2567","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
