"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO5","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","29","","131","1418","n/e","n/e","n/e","n/e","n/e","14","n/e","n/e"
"BZN|NO5","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","26","","101","1603","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","25","","98","1397","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","20","","100","1384","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","20","","99","1499","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","20","","55","1449","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","20","","54","1530","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","20","","58","1591","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","20","","56","1585","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","20","","54","1620","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","26","","51","1688","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","29","","49","1953","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","29","","48","2099","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","n/e","n/e","n/e","7","n/e","n/e","n/e","n/e","n/e","30","","72","2068","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
