"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO2","01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","305","7353","n/e","n/e","4","n/e","n/e","n/e","n/e","157"
"BZN|NO2","01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","305","7218","n/e","n/e","4","n/e","n/e","n/e","n/e","167"
"BZN|NO2","01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","305","6952","n/e","n/e","4","n/e","n/e","n/e","n/e","177"
"BZN|NO2","01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","305","6626","n/e","n/e","4","n/e","n/e","n/e","n/e","186"
"BZN|NO2","01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","305","6549","n/e","n/e","4","n/e","n/e","n/e","n/e","183"
"BZN|NO2","01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","304","6783","n/e","n/e","4","n/e","n/e","n/e","n/e","155"
"BZN|NO2","01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","302","6437","n/e","n/e","4","n/e","n/e","n/e","n/e","117"
"BZN|NO2","01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","302","6601","n/e","n/e","4","n/e","n/e","n/e","n/e","83"
"BZN|NO2","01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","303","6615","n/e","n/e","4","n/e","n/e","n/e","n/e","74"
"BZN|NO2","01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","303","7181","n/e","n/e","4","n/e","n/e","n/e","n/e","64"
"BZN|NO2","01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","302","7756","n/e","n/e","4","n/e","n/e","n/e","n/e","47"
"BZN|NO2","01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","301","8192","n/e","n/e","4","n/e","n/e","n/e","n/e","31"
"BZN|NO2","01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","301","8471","n/e","n/e","4","n/e","n/e","n/e","n/e","22"
