"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO1","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","899","353","n/e","n/e","n/e","n/e","n/e","9","n/e","139"
"BZN|NO1","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","878","321","n/e","n/e","n/e","n/e","n/e","8","n/e","172"
"BZN|NO1","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","897","330","n/e","n/e","n/e","n/e","n/e","8","n/e","151"
"BZN|NO1","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","885","275","n/e","n/e","n/e","n/e","n/e","8","n/e","160"
"BZN|NO1","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","890","269","n/e","n/e","n/e","n/e","n/e","8","n/e","148"
"BZN|NO1","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","892","300","n/e","n/e","n/e","n/e","n/e","8","n/e","147"
"BZN|NO1","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","900","266","n/e","n/e","n/e","n/e","n/e","9","n/e","126"
"BZN|NO1","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","882","260","n/e","n/e","n/e","n/e","n/e","8","n/e","98"
"BZN|NO1","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","883","293","n/e","n/e","n/e","n/e","n/e","8","n/e","62"
"BZN|NO1","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","887","344","n/e","n/e","n/e","n/e","n/e","9","n/e","46"
"BZN|NO1","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","882","337","n/e","n/e","n/e","n/e","n/e","9","n/e","31"
"BZN|NO1","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","883","332","n/e","n/e","n/e","n/e","n/e","10","n/e","16"
"BZN|NO1","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","882","327","n/e","n/e","n/e","n/e","n/e","9","n/e","34"
"BZN|NO1","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","885","287","n/e","n/e","n/e","n/e","n/e","9","n/e","59"
"BZN|NO1","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","884","307","n/e","n/e","n/e","n/e","n/e","10","n/e","100"
"BZN|NO1","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","891","361","n/e","n/e","n/e","n/e","n/e","9","n/e","122"
"BZN|NO1","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","881","498","n/e","n/e","n/e","n/e","n/e","10","n/e","138"
"BZN|NO1","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","878","488","n/e","n/e","n/e","n/e","n/e","10","n/e","131"
"BZN|NO1","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","888","528","n/e","n/e","n/e","n/e","n/e","10","n/e","181"
"BZN|NO1","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","892","374","n/e","n/e","n/e","n/e","n/e","9","n/e","190"
"BZN|NO1","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","880","335","n/e","n/e","n/e","n/e","n/e","10","n/e","187"
"BZN|NO1","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","878","287","n/e","n/e","n/e","n/e","n/e","10","n/e","181"
"BZN|NO1","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","877","278","n/e","n/e","n/e","n/e","n/e","9","n/e","163"
"BZN|NO1","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","891","291","n/e","n/e","n/e","n/e","n/e","9","n/e","158"
"BZN|NO1","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","890","313","n/e","n/e","n/e","n/e","n/e","9","n/e","150"
"BZN|NO1","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","892","351","n/e","n/e","n/e","n/e","n/e","8","n/e","84"
"BZN|NO1","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","896","337","n/e","n/e","n/e","n/e","n/e","8","n/e","43"
"BZN|NO1","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","880","325","n/e","n/e","n/e","n/e","n/e","8","n/e","26"
