"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO5","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","66","","234","1618","n/e","n/e","n/e","n/e","n/e","19","n/e","n/e"
"BZN|NO5","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","66","","227","1759","n/e","n/e","n/e","n/e","n/e","19","n/e","n/e"
"BZN|NO5","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","66","","216","1890","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","65","","215","1460","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","65","","209","1394","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","65","","210","1488","n/e","n/e","n/e","n/e","n/e","19","n/e","n/e"
"BZN|NO5","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","88","","201","1474","n/e","n/e","n/e","n/e","n/e","18","n/e","n/e"
"BZN|NO5","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","89","","225","1363","n/e","n/e","n/e","n/e","n/e","12","n/e","n/e"
"BZN|NO5","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","93","","227","1419","n/e","n/e","n/e","n/e","n/e","13","n/e","n/e"
"BZN|NO5","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","94","","234","1563","n/e","n/e","n/e","n/e","n/e","17","n/e","n/e"
"BZN|NO5","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","94","","223","1661","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","93","","216","1582","n/e","n/e","n/e","n/e","n/e","13","n/e","n/e"
"BZN|NO5","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","93","","216","1511","n/e","n/e","n/e","n/e","n/e","13","n/e","n/e"
"BZN|NO5","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","92","","213","1432","n/e","n/e","n/e","n/e","n/e","13","n/e","n/e"
"BZN|NO5","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","94","","217","1763","n/e","n/e","n/e","n/e","n/e","18","n/e","n/e"
"BZN|NO5","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","93","","210","1895","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","93","","242","1918","n/e","n/e","n/e","n/e","n/e","14","n/e","n/e"
"BZN|NO5","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","110","","259","2003","n/e","n/e","n/e","n/e","n/e","14","n/e","n/e"
"BZN|NO5","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","n/e","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","108","","261","2043","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","n/e","n/e","n/e","102","n/e","n/e","n/e","n/e","n/e","104","","268","1636","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","103","","225","1483","n/e","n/e","n/e","n/e","n/e","14","n/e","n/e"
"BZN|NO5","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","91","","228","1393","n/e","n/e","n/e","n/e","n/e","13","n/e","n/e"
"BZN|NO5","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","91","","226","1296","n/e","n/e","n/e","n/e","n/e","19","n/e","n/e"
"BZN|NO5","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","92","","195","1273","n/e","n/e","n/e","n/e","n/e","22","n/e","n/e"
"BZN|NO5","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","68","","188","1442","n/e","n/e","n/e","n/e","n/e","21","n/e","n/e"
"BZN|NO5","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","68","","180","1295","n/e","n/e","n/e","n/e","n/e","21","n/e","n/e"
"BZN|NO5","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","67","","191","1150","n/e","n/e","n/e","n/e","n/e","21","n/e","n/e"
"BZN|NO5","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","66","","207","1134","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","66","","211","1107","n/e","n/e","n/e","n/e","n/e","12","n/e","n/e"
"BZN|NO5","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","67","","220","1045","n/e","n/e","n/e","n/e","n/e","12","n/e","n/e"
"BZN|NO5","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","67","","227","1143","n/e","n/e","n/e","n/e","n/e","16","n/e","n/e"
"BZN|NO5","02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","67","","232","1356","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","67","","246","1423","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","67","","283","1522","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","67","","286","1876","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","67","","288","2159","n/e","n/e","n/e","n/e","n/e","19","n/e","n/e"
"BZN|NO5","02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","67","","298","1946","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","67","","295","1683","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","67","","322","1796","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","02.01.2022 15:00 - 02.01.2022 16:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","102","","316","1931","n/e","n/e","n/e","n/e","n/e","20","n/e","n/e"
"BZN|NO5","02.01.2022 16:00 - 02.01.2022 17:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","104","","321","2201","n/e","n/e","n/e","n/e","n/e","18","n/e","n/e"
"BZN|NO5","02.01.2022 17:00 - 02.01.2022 18:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","104","","343","2351","n/e","n/e","n/e","n/e","n/e","18","n/e","n/e"
"BZN|NO5","02.01.2022 18:00 - 02.01.2022 19:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","103","","328","2284","n/e","n/e","n/e","n/e","n/e","14","n/e","n/e"
"BZN|NO5","02.01.2022 19:00 - 02.01.2022 20:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","78","","312","2115","n/e","n/e","n/e","n/e","n/e","14","n/e","n/e"
"BZN|NO5","02.01.2022 20:00 - 02.01.2022 21:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","66","","256","1445","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","02.01.2022 21:00 - 02.01.2022 22:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","66","","246","1376","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","02.01.2022 22:00 - 02.01.2022 23:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","67","","231","1396","n/e","n/e","n/e","n/e","n/e","18","n/e","n/e"
"BZN|NO5","02.01.2022 23:00 - 03.01.2022 00:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","65","","221","1173","n/e","n/e","n/e","n/e","n/e","14","n/e","n/e"
"BZN|NO5","03.01.2022 00:00 - 03.01.2022 01:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","66","","204","1178","n/e","n/e","n/e","n/e","n/e","16","n/e","n/e"
"BZN|NO5","03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","66","","205","1195","n/e","n/e","n/e","n/e","n/e","22","n/e","n/e"
"BZN|NO5","03.01.2022 02:00 - 03.01.2022 03:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","67","","205","1201","n/e","n/e","n/e","n/e","n/e","21","n/e","n/e"
"BZN|NO5","03.01.2022 03:00 - 03.01.2022 04:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","67","","208","1283","n/e","n/e","n/e","n/e","n/e","21","n/e","n/e"
"BZN|NO5","03.01.2022 04:00 - 03.01.2022 05:00 (CET/CEST)","n/e","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","66","","207","1332","n/e","n/e","n/e","n/e","n/e","18","n/e","n/e"
"BZN|NO5","03.01.2022 05:00 - 03.01.2022 06:00 (CET/CEST)","n/e","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","66","","217","1533","n/e","n/e","n/e","n/e","n/e","17","n/e","n/e"
"BZN|NO5","03.01.2022 06:00 - 03.01.2022 07:00 (CET/CEST)","n/e","n/e","n/e","87","n/e","n/e","n/e","n/e","n/e","90","","224","1660","n/e","n/e","n/e","n/e","n/e","18","n/e","n/e"
"BZN|NO5","03.01.2022 07:00 - 03.01.2022 08:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","92","","254","1942","n/e","n/e","n/e","n/e","n/e","19","n/e","n/e"
"BZN|NO5","03.01.2022 08:00 - 03.01.2022 09:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","91","","259","2188","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","03.01.2022 09:00 - 03.01.2022 10:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","90","","265","2293","n/e","n/e","n/e","n/e","n/e","12","n/e","n/e"
"BZN|NO5","03.01.2022 10:00 - 03.01.2022 11:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","91","","268","2135","n/e","n/e","n/e","n/e","n/e","11","n/e","n/e"
"BZN|NO5","03.01.2022 11:00 - 03.01.2022 12:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","92","","288","2415","n/e","n/e","n/e","n/e","n/e","13","n/e","n/e"
"BZN|NO5","03.01.2022 12:00 - 03.01.2022 13:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","92","","283","2574","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","03.01.2022 13:00 - 03.01.2022 14:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","91","","298","2549","n/e","n/e","n/e","n/e","n/e","12","n/e","n/e"
"BZN|NO5","03.01.2022 14:00 - 03.01.2022 15:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","92","","296","2599","n/e","n/e","n/e","n/e","n/e","16","n/e","n/e"
"BZN|NO5","03.01.2022 15:00 - 03.01.2022 16:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","103","","311","2555","n/e","n/e","n/e","n/e","n/e","12","n/e","n/e"
"BZN|NO5","03.01.2022 16:00 - 03.01.2022 17:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","103","","315","2747","n/e","n/e","n/e","n/e","n/e","13","n/e","n/e"
"BZN|NO5","03.01.2022 17:00 - 03.01.2022 18:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","103","","307","2988","n/e","n/e","n/e","n/e","n/e","13","n/e","n/e"
"BZN|NO5","03.01.2022 18:00 - 03.01.2022 19:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","103","","292","3019","n/e","n/e","n/e","n/e","n/e","19","n/e","n/e"
"BZN|NO5","03.01.2022 19:00 - 03.01.2022 20:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","103","","306","2933","n/e","n/e","n/e","n/e","n/e","18","n/e","n/e"
"BZN|NO5","03.01.2022 20:00 - 03.01.2022 21:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","103","","278","2805","n/e","n/e","n/e","n/e","n/e","18","n/e","n/e"
"BZN|NO5","03.01.2022 21:00 - 03.01.2022 22:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","101","","275","2625","n/e","n/e","n/e","n/e","n/e","16","n/e","n/e"
"BZN|NO5","03.01.2022 22:00 - 03.01.2022 23:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","65","","269","2335","n/e","n/e","n/e","n/e","n/e","13","n/e","n/e"
"BZN|NO5","03.01.2022 23:00 - 04.01.2022 00:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","65","","248","1789","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 00:00 - 04.01.2022 01:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","66","","240","2555","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","04.01.2022 01:00 - 04.01.2022 02:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","65","","200","2482","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","04.01.2022 02:00 - 04.01.2022 03:00 (CET/CEST)","n/e","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","66","","184","2446","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","04.01.2022 03:00 - 04.01.2022 04:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","65","","177","1972","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","04.01.2022 04:00 - 04.01.2022 05:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","66","","173","1929","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","04.01.2022 05:00 - 04.01.2022 06:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","65","","182","2647","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","04.01.2022 06:00 - 04.01.2022 07:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","103","","218","3342","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","04.01.2022 07:00 - 04.01.2022 08:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","106","","251","4194","n/e","n/e","n/e","n/e","n/e","11","n/e","n/e"
"BZN|NO5","04.01.2022 08:00 - 04.01.2022 09:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","106","","272","5401","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 09:00 - 04.01.2022 10:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","117","","272","5113","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 10:00 - 04.01.2022 11:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","240","","270","5054","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 11:00 - 04.01.2022 12:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","248","","259","5013","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 12:00 - 04.01.2022 13:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","248","","259","4703","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 13:00 - 04.01.2022 14:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","243","","254","4519","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 14:00 - 04.01.2022 15:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","243","","254","4576","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 15:00 - 04.01.2022 16:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","249","","301","4788","n/e","n/e","n/e","n/e","n/e","12","n/e","n/e"
"BZN|NO5","04.01.2022 16:00 - 04.01.2022 17:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","247","","299","5011","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 17:00 - 04.01.2022 18:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","257","","290","5326","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 18:00 - 04.01.2022 19:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","261","","252","5030","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 19:00 - 04.01.2022 20:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","261","","263","4508","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 20:00 - 04.01.2022 21:00 (CET/CEST)","n/e","n/e","n/e","86","n/e","n/e","n/e","n/e","n/e","171","","214","4075","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 21:00 - 04.01.2022 22:00 (CET/CEST)","n/e","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","146","","208","3290","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","04.01.2022 22:00 - 04.01.2022 23:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","146","","203","3093","n/e","n/e","n/e","n/e","n/e","12","n/e","n/e"
"BZN|NO5","04.01.2022 23:00 - 05.01.2022 00:00 (CET/CEST)","n/e","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","125","","193","2460","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e"
"BZN|NO5","05.01.2022 00:00 - 05.01.2022 01:00 (CET/CEST)","n/e","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","67","","157","2438","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
"BZN|NO5","05.01.2022 01:00 - 05.01.2022 02:00 (CET/CEST)","n/e","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","63","","148","2185","n/e","n/e","n/e","n/e","n/e","15","n/e","n/e"
