"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO2","01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","4485","n/e","n/e","3","n/e","n/e","n/e","n/e","145"
"BZN|NO2","01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","4103","n/e","n/e","3","n/e","n/e","n/e","n/e","156"
"BZN|NO2","01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","3961","n/e","n/e","3","n/e","n/e","n/e","n/e","159"
"BZN|NO2","01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","3933","n/e","n/e","3","n/e","n/e","n/e","n/e","149"
"BZN|NO2","01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","3920","n/e","n/e","3","n/e","n/e","n/e","n/e","144"
"BZN|NO2","01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","3952","n/e","n/e","3","n/e","n/e","n/e","n/e","149"
"BZN|NO2","01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","3994","n/e","n/e","3","n/e","n/e","n/e","n/e","153"
"BZN|NO2","01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","3917","n/e","n/e","3","n/e","n/e","n/e","n/e","149"
"BZN|NO2","01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","3951","n/e","n/e","3","n/e","n/e","n/e","n/e","158"
"BZN|NO2","01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","3960","n/e","n/e","3","n/e","n/e","n/e","n/e","165"
"BZN|NO2","01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","269","4217","n/e","n/e","3","n/e","n/e","n/e","n/e","145"
"BZN|NO2","01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","269","4364","n/e","n/e","4","n/e","n/e","n/e","n/e","136"
"BZN|NO2","01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","269","4354","n/e","n/e","4","n/e","n/e","n/e","n/e","152"
