"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO1","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","722","1133","n/e","n/e","0","n/e","n/e","n/e","n/e","142"
"BZN|NO1","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","727","1130","n/e","n/e","0","n/e","n/e","n/e","n/e","149"
"BZN|NO1","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","729","1115","n/e","n/e","0","n/e","n/e","n/e","n/e","153"
"BZN|NO1","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","731","1087","n/e","n/e","0","n/e","n/e","n/e","n/e","153"
"BZN|NO1","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","731","1058","n/e","n/e","0","n/e","n/e","n/e","n/e","153"
"BZN|NO1","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","731","1030","n/e","n/e","0","n/e","n/e","n/e","n/e","155"
"BZN|NO1","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","730","1028","n/e","n/e","0","n/e","n/e","n/e","n/e","152"
"BZN|NO1","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","730","1037","n/e","n/e","0","n/e","n/e","n/e","n/e","140"
"BZN|NO1","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","731","1045","n/e","n/e","0","n/e","n/e","n/e","n/e","141"
"BZN|NO1","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","734","1046","n/e","n/e","0","n/e","n/e","n/e","n/e","146"
"BZN|NO1","01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","734","1057","n/e","n/e","0","n/e","n/e","n/e","n/e","144"
"BZN|NO1","01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","734","1091","n/e","n/e","0","n/e","n/e","n/e","n/e","148"
"BZN|NO1","01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","734","1089","n/e","n/e","0","n/e","n/e","n/e","n/e","142"
"BZN|NO1","01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","734","1096","n/e","n/e","0","n/e","n/e","n/e","n/e","153"
"BZN|NO1","01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","734","1113","n/e","n/e","0","n/e","n/e","n/e","n/e","155"
"BZN|NO1","01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","734","1114","n/e","n/e","0","n/e","n/e","n/e","n/e","157"
