"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO5","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","19","2309","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","19","2259","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","19","2190","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","1862","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","1833","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","1877","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","2217","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","2393","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","2166","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","2185","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","2346","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","2442","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","2487","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","2483","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","2632","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","2729","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","2839","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","24","3067","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","23","3039","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","23","2729","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","23","2496","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","23","2419","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","23","2287","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","22","2015","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","22","1842","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2018 01:00 - 02.01.2018 02:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","22","1809","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2018 02:00 - 02.01.2018 03:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","22","1849","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2018 03:00 - 02.01.2018 04:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","22","1851","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2018 04:00 - 02.01.2018 05:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","22","2077","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2018 05:00 - 02.01.2018 06:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","24","2190","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2018 06:00 - 02.01.2018 07:00 (CET/CEST)","n/e","n/e","n/e","103","n/e","n/e","n/e","n/e","n/e","n/e","n/e","24","2860","n/e","n/e","1","n/e","n/e","n/e","n/e","0"
