"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO1","01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","867","1197","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","855","1199","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","846","1180","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","849","1184","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","851","1177","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","845","1183","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","840","1125","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","848","1089","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","834","1138","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","839","1155","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","837","1158","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","836","1162","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","837","1164","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","840","1172","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","842","1206","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","834","1233","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","832","1330","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","835","1306","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","826","1241","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","828","1230","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","821","1224","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 21:00 - 01.01.2015 22:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","823","1196","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 22:00 - 01.01.2015 23:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","814","1185","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2015 23:00 - 02.01.2015 00:00 (CET/CEST)","n/e","n/e","n/e","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","818","1177","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
