"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO1","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1006","583","n/e","n/e","n/e","n/e","n/e","8","n/e","74"
"BZN|NO1","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","978","500","n/e","n/e","n/e","n/e","n/e","8","n/e","71"
"BZN|NO1","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","976","417","n/e","n/e","n/e","n/e","n/e","7","n/e","80"
"BZN|NO1","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","967","374","n/e","n/e","n/e","n/e","n/e","8","n/e","112"
"BZN|NO1","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","979","314","n/e","n/e","n/e","n/e","n/e","7","n/e","146"
"BZN|NO1","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","963","355","n/e","n/e","n/e","n/e","n/e","8","n/e","185"
"BZN|NO1","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","961","355","n/e","n/e","n/e","n/e","n/e","8","n/e","218"
"BZN|NO1","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","962","351","n/e","n/e","n/e","n/e","n/e","8","n/e","198"
"BZN|NO1","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","971","310","n/e","n/e","n/e","n/e","n/e","9","n/e","163"
"BZN|NO1","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","952","432","n/e","n/e","n/e","n/e","n/e","9","n/e","138"
"BZN|NO1","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","936","497","n/e","n/e","n/e","n/e","n/e","9","n/e","152"
"BZN|NO1","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","952","557","n/e","n/e","n/e","n/e","n/e","10","n/e","141"
"BZN|NO1","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","990","588","n/e","n/e","n/e","n/e","n/e","10","n/e","132"
"BZN|NO1","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","978","608","n/e","n/e","n/e","n/e","n/e","9","n/e","115"
"BZN|NO1","01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","953","612","n/e","n/e","n/e","n/e","n/e","9","n/e","75"
"BZN|NO1","01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","974","591","n/e","n/e","n/e","n/e","n/e","9","n/e","69"
"BZN|NO1","01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","993","632","n/e","n/e","n/e","n/e","n/e","10","n/e","58"
"BZN|NO1","01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","997","647","n/e","n/e","n/e","n/e","n/e","10","n/e","66"
"BZN|NO1","01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST)","0","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","975","629","n/e","n/e","n/e","n/e","n/e","10","n/e","52"
