"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO5","01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","3168","n/e","n/e","0","n/e","n/e","n/e","n/e","18"
"BZN|NO5","01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","3090","n/e","n/e","0","n/e","n/e","n/e","n/e","18"
"BZN|NO5","01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","2979","n/e","n/e","0","n/e","n/e","n/e","n/e","18"
"BZN|NO5","01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","2893","n/e","n/e","0","n/e","n/e","n/e","n/e","17"
"BZN|NO5","01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","2859","n/e","n/e","0","n/e","n/e","n/e","n/e","17"
"BZN|NO5","01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","2955","n/e","n/e","0","n/e","n/e","n/e","n/e","17"
"BZN|NO5","01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","2859","n/e","n/e","0","n/e","n/e","n/e","n/e","17"
"BZN|NO5","01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","59","2881","n/e","n/e","0","n/e","n/e","n/e","n/e","17"
"BZN|NO5","01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","59","2945","n/e","n/e","0","n/e","n/e","n/e","n/e","17"
"BZN|NO5","01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","n/e","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","59","3032","n/e","n/e","0","n/e","n/e","n/e","n/e","17"
