"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO1","01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","828","817","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","824","807","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","825","802","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","823","797","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","829","799","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","829","802","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","824","814","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","827","876","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","840","924","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","841","935","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","844","950","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","846","974","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","844","981","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","843","981","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 14:00 - 01.01.2016 15:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","837","980","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 15:00 - 01.01.2016 16:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","849","1101","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 16:00 - 01.01.2016 17:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","845","1163","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 17:00 - 01.01.2016 18:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","836","1235","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 18:00 - 01.01.2016 19:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","833","1212","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 19:00 - 01.01.2016 20:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","835","1118","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 20:00 - 01.01.2016 21:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","835","1069","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 21:00 - 01.01.2016 22:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","840","1041","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 22:00 - 01.01.2016 23:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","833","954","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","01.01.2016 23:00 - 02.01.2016 00:00 (CET/CEST)","n/e","n/e","n/e","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","841","952","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 00:00 - 02.01.2016 01:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","846","764","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 01:00 - 02.01.2016 02:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","851","773","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 02:00 - 02.01.2016 03:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","835","706","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 03:00 - 02.01.2016 04:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","832","642","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 04:00 - 02.01.2016 05:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","835","622","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 05:00 - 02.01.2016 06:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","841","629","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 06:00 - 02.01.2016 07:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","839","650","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 07:00 - 02.01.2016 08:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","845","668","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 08:00 - 02.01.2016 09:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","847","726","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 09:00 - 02.01.2016 10:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","854","837","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 10:00 - 02.01.2016 11:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","855","833","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 11:00 - 02.01.2016 12:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","854","848","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 12:00 - 02.01.2016 13:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","854","836","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 13:00 - 02.01.2016 14:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","852","831","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 14:00 - 02.01.2016 15:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","851","836","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 15:00 - 02.01.2016 16:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","854","913","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 16:00 - 02.01.2016 17:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","849","961","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 17:00 - 02.01.2016 18:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","851","1015","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 18:00 - 02.01.2016 19:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","844","1066","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 19:00 - 02.01.2016 20:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","839","996","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 20:00 - 02.01.2016 21:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","839","1014","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 21:00 - 02.01.2016 22:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","841","960","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 22:00 - 02.01.2016 23:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","836","949","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","02.01.2016 23:00 - 03.01.2016 00:00 (CET/CEST)","n/e","n/e","n/e","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","838","952","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
"BZN|NO1","03.01.2016 00:00 - 03.01.2016 01:00 (CET/CEST)","n/e","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","826","976","n/e","n/e","0","n/e","n/e","n/e","n/e","0"
