"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Denmark (DK)","01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST)","299","n/e","n/e","136","369","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","125","1624","1575"
"Denmark (DK)","02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST)","314","n/e","n/e","150","368","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","129","1344","1221"
"Denmark (DK)","02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST)","287","n/e","n/e","151","366","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","129","1067","1035"
"Denmark (DK)","02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST)","292","n/e","n/e","151","365","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","130","986","889"
"Denmark (DK)","02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST)","274","n/e","n/e","151","367","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","130","916","793"
"Denmark (DK)","02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST)","279","n/e","n/e","153","379","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","131","713","619"
"Denmark (DK)","02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST)","431","n/e","n/e","154","426","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","131","679","533"
"Denmark (DK)","02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST)","601","n/e","n/e","197","529","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","132","580","399"
"Denmark (DK)","02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST)","624","n/e","n/e","315","647","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","135","706","383"
"Denmark (DK)","02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST)","590","n/e","n/e","358","677","45","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","135","866","400"
"Denmark (DK)","02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST)","633","n/e","n/e","372","621","46","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5","134","923","401"
"Denmark (DK)","02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST)","666","n/e","n/e","376","611","47","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","131","958","409"
"Denmark (DK)","02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST)","607","n/e","n/e","409","582","46","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","64","132","963","427"
"Denmark (DK)","02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST)","579","n/e","n/e","438","614","47","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","69","133","1090","516"
"Denmark (DK)","02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST)","558","n/e","n/e","448","618","48","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","79","135","1271","634"
"Denmark (DK)","02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST)","541","n/e","n/e","442","636","48","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","59","135","1399","803"
"Denmark (DK)","02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST)","574","n/e","n/e","472","732","48","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","19","132","1619","981"
"Denmark (DK)","02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST)","601","n/e","n/e","503","721","51","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","133","1620","1365"
"Denmark (DK)","02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST)","600","n/e","n/e","513","769","51","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","133","1745","1579"
