"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Denmark (DK)","01.01.2024 00:00 - 01.01.2024 01:00 (CET/CEST)","447","n/e","n/e","144","260","52","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","67","1691","1480"
"Denmark (DK)","01.01.2024 01:00 - 01.01.2024 02:00 (CET/CEST)","452","n/e","n/e","146","255","52","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","65","1585","1335"
"Denmark (DK)","01.01.2024 02:00 - 01.01.2024 03:00 (CET/CEST)","438","n/e","n/e","150","262","53","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","65","1668","1256"
"Denmark (DK)","01.01.2024 03:00 - 01.01.2024 04:00 (CET/CEST)","395","n/e","n/e","141","258","52","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","69","1690","1222"
"Denmark (DK)","01.01.2024 04:00 - 01.01.2024 05:00 (CET/CEST)","392","n/e","n/e","142","260","53","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","70","1418","1119"
"Denmark (DK)","01.01.2024 05:00 - 01.01.2024 06:00 (CET/CEST)","393","n/e","n/e","141","258","52","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","71","1401","1115"
"Denmark (DK)","01.01.2024 06:00 - 01.01.2024 07:00 (CET/CEST)","408","n/e","n/e","147","263","53","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","71","1207","1199"
"Denmark (DK)","01.01.2024 07:00 - 01.01.2024 08:00 (CET/CEST)","409","n/e","n/e","163","283","56","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","73","1219","1261"
"Denmark (DK)","01.01.2024 08:00 - 01.01.2024 09:00 (CET/CEST)","409","n/e","n/e","162","287","60","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","1074","1259"
"Denmark (DK)","01.01.2024 09:00 - 01.01.2024 10:00 (CET/CEST)","410","n/e","n/e","163","301","67","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","17","76","1422","1298"
